station_code,station_name,state,year,temperature,ph,conductivity,tds,nitrate,fluoride,GQI,Quality_Class,Quality_Score,ph_trend,conductivity_trend,tds_trend,gqi_trend,tds_3yr_avg,ph_3yr_avg
52.0,"WELL, SHRI RAO PRAJAPATI
WELL , M. P.(T/W OF HANIF
KHAN S/O JABBAR KHAN,
AMRAWATI ROAD, BURHANPUR
)",MADHYA PRADESH,2019,24.0,7.6,962.0,615.6800000000001,,,1.5,Poor,0,-0.5000000000000018,-339.5,-217.27999999999997,0.0,541.12,7.916666666666667
52.0,"WELL, SHRI RAO PRAJAPATI
WELL , M. P.(T/W OF HANIF
KHAN S/O JABBAR KHAN,
AMRAWATI ROAD, BURHANPUR
)",MADHYA PRADESH,2021,22.0,7.8,1555.0,995.2,,,1.5,Poor,0,0.20000000000000018,593.0,379.52,0.0,814.6133333333333,7.833333333333333
1226.0,"WELL AT NAROL,
AHMEDABAD, GUJARAT",GUJARAT,2015,33.0,8.4,1084.5,694.08,,,1.5,Poor,0,,,,,,
1226.0,"WELL AT NAROL, AHMEDABAD,
GUJARAT",GUJARAT,2016,32.5,7.85,864.0,552.96,,,1.5,Poor,0,-0.5500000000000007,-220.5,-141.12,0.0,,
1226.0,"WELL AT NAROL, AHMEDABAD,",GUJARAT,2017,33.0,8.3,365.5,233.92000000000002,,,2.0,Moderate,1,0.45000000000000107,-498.5,-319.04,0.5,493.65333333333336,8.183333333333334
1226.0,"WELL AT NAROL, AHMEDABAD,",GUJARAT,2018,33.0,8.35,355.0,227.20000000000002,,,2.0,Moderate,1,0.049999999999998934,-10.5,-6.719999999999999,0.0,338.0266666666667,8.166666666666666
1397.0,WELL AT MUTHIALPET AREA(I),PUDUCHERRY,2012,30.5,6.62,3417.0,2186.88,,,1.0,Poor,0,,,,,,
1397.0,"WELL AT MUTHIALPET AREA(I), PONDICHERRY",PUDUCHERRY,2013,31.0,6.65,4740.0,3033.6,,,1.0,Poor,0,0.03000000000000025,1323.0,846.7199999999998,0.0,,
1397.0,"WELL AT MUTHIALPET AREA(I), PONDICHERRY",PUDUCHERRY,2014,30.5,7.3,2580.5,1651.52,,,1.5,Poor,0,0.6499999999999995,-2159.5,-1382.08,0.5,2290.6666666666665,6.8566666666666665
1397.0,"WELL AT MUTHIALPET
AREA(I), PUDUCHERRY",PUDUCHERRY,2015,31.5,7.25,407.5,260.8,,,2.0,Moderate,1,-0.04999999999999982,-2173.0,-1390.72,0.5,1648.64,7.066666666666666
